"id","online_id","name","type"
"online_institution_11282","5301aa306b3f82a00500018b","Citi","Plaid"
"online_institution_11283","531ea6327de8211c80000440","US Bank","Plaid"
"online_institution_11284","531ea6602ad939b68700047c","USAA","Plaid"
"online_institution_11285","53c5c8631f9bda09c7000222","Capital One 360","Plaid"
"online_institution_11286","5301a9d704977c52b60000db","American Express","Plaid"
"online_institution_11287","53b34fab1a73941962000186","Charles Schwab","Plaid"
"online_institution_11288","53cee1d8c003c2747b000051","Fidelity","Plaid"
"online_institution_11289","54acb2eb9d5b8617e0d5aa86","PNC","Plaid"
"online_institution_11290","54dd7c23b237e70e61c3cb08","Silicon Valley Bank","Plaid"
"online_institution_11280","5301a99504977c52b60000d0","Chase","Plaid"
"online_institution_11279","5301a93ac140de84910000e0","Bank of America","Plaid"
"online_institution_11281","5301aa096b3f822b440001cb","Wells Fargo","Plaid"
